### DATA:

         Q               I              Error
4.39920173E-02 3.92481275E-05 3.85205144E-07
4.42795354E-02 3.86166553E-05 3.77768182E-07
4.45670534E-02 3.86409414E-05 3.78937655E-07
4.48545710E-02 3.85229079E-05 3.90954975E-07
4.51420885E-02 3.78115043E-05 3.94940691E-07
4.54296057E-02 3.78155688E-05 4.01143038E-07
4.57171227E-02 3.67093865E-05 3.97554563E-07
4.60046395E-02 3.60998696E-05 4.01827470E-07
4.62921560E-02 3.60271186E-05 4.06880663E-07
4.65796723E-02 3.56519358E-05 4.05941201E-07
4.68671884E-02 3.59130907E-05 4.11028309E-07
4.71547042E-02 3.54534107E-05 4.02957988E-07
4.74422198E-02 3.48719150E-05 4.11399886E-07
4.77297352E-02 3.43267052E-05 4.10861195E-07
4.80172503E-02 3.36613363E-05 4.08054314E-07
4.83047652E-02 3.37845546E-05 4.05544837E-07
4.85922798E-02 3.37292251E-05 4.03436967E-07
4.88797942E-02 3.23578549E-05 4.14406680E-07
4.91673084E-02 3.24242296E-05 4.08716327E-07
4.94548223E-02 3.15581601E-05 4.07023382E-07
4.97423359E-02 3.18271111E-05 4.07158929E-07
5.00298493E-02 3.16228420E-05 4.01269277E-07
5.03173625E-02 3.06073897E-05 4.07042534E-07
5.06048754E-02 3.06750502E-05 3.99539161E-07
5.08923880E-02 3.05629963E-05 4.04275339E-07
5.11799004E-02 2.99132824E-05 4.05124122E-07
5.14674125E-02 2.98819795E-05 3.97832308E-07
5.17549244E-02 3.00087069E-05 4.07597964E-07
5.20424360E-02 2.86965471E-05 3.89780849E-07
5.23299474E-02 2.90632726E-05 4.04708919E-07
5.26174584E-02 2.80355385E-05 3.95451675E-07
5.29049693E-02 2.77283583E-05 3.98072200E-07
5.31924798E-02 2.78468208E-05 4.01668198E-07
5.34799901E-02 2.74441158E-05 3.88988865E-07
5.37675001E-02 2.69834971E-05 4.01836064E-07
5.40550099E-02 2.67103191E-05 3.91706465E-07
5.43425193E-02 2.72070280E-05 3.92253631E-07
5.46300285E-02 2.58664896E-05 3.93007432E-07
5.49175375E-02 2.59314853E-05 3.80071948E-07
5.52050461E-02 2.52513040E-05 3.85860194E-07
5.54925545E-02 2.55419804E-05 3.77298614E-07
5.57800626E-02 2.47502889E-05 3.82775426E-07
5.60675704E-02 2.50738280E-05 3.89829016E-07
5.63550779E-02 2.51881847E-05 3.82634495E-07
5.66425852E-02 2.46198994E-05 3.88166221E-07
5.69300921E-02 2.40841449E-05 3.79589966E-07
5.72175988E-02 2.34474942E-05 3.85604526E-07
5.75051052E-02 2.32620158E-05 3.83319212E-07
5.77926113E-02 2.33856789E-05 3.83603264E-07
5.80801171E-02 2.32040537E-05 3.85368727E-07
5.83676226E-02 2.21345613E-05 3.78468379E-07
5.86551278E-02 2.24557483E-05 3.85999184E-07
5.89426328E-02 2.22532141E-05 3.82873276E-07
5.92301374E-02 2.27609616E-05 3.76430756E-07
5.95176417E-02 2.10708686E-05 3.81169058E-07
5.98051458E-02 2.14253605E-05 3.79604735E-07
6.00926495E-02 2.18558023E-05 3.85224699E-07
6.03801529E-02 2.18314833E-05 3.73873752E-07
6.06676561E-02 2.04635031E-05 3.74154546E-07
6.09551589E-02 2.05890116E-05 3.75015683E-07
6.12426614E-02 2.07563401E-05 3.76083170E-07
6.15301636E-02 2.09564670E-05 3.81272712E-07
6.18176655E-02 1.96567421E-05 3.70321620E-07
6.21051671E-02 1.96646588E-05 3.74248911E-07
6.23926684E-02 1.98886770E-05 3.74670400E-07
6.26801693E-02 1.88762293E-05 3.74964652E-07
6.29676700E-02 1.88854042E-05 3.72896114E-07
6.32551703E-02 1.85303849E-05 3.67976368E-07
6.35426703E-02 1.84291164E-05 3.69167863E-07
6.38301700E-02 1.84527780E-05 3.70550702E-07
6.41176694E-02 1.79197712E-05 3.68707959E-07
6.44051684E-02 1.80946441E-05 3.65748225E-07
6.46926671E-02 1.75797181E-05 3.70129997E-07
6.49801655E-02 1.74157806E-05 3.71230535E-07
6.52676636E-02 1.72526426E-05 3.62292989E-07
6.55551614E-02 1.73851279E-05 3.69388103E-07
6.58426588E-02 1.71200821E-05 3.64452212E-07
6.61301559E-02 1.68043296E-05 3.68297782E-07
6.64176526E-02 1.67988407E-05 3.65671675E-07
6.67051490E-02 1.59678846E-05 3.62314790E-07
6.69926451E-02 1.61279465E-05 3.65432713E-07
6.72801409E-02 1.65285232E-05 3.62505192E-07
6.75676363E-02 1.61627318E-05 3.63413123E-07
6.78551313E-02 1.59674365E-05 3.60805569E-07
6.81426261E-02 1.57690470E-05 3.57763957E-07
6.84301204E-02 1.54419689E-05 3.62498323E-07
6.87176145E-02 1.57866970E-05 3.61587977E-07
6.90051082E-02 1.49457159E-05 3.61165020E-07
6.92926015E-02 1.47958077E-05 3.58491423E-07
6.95800945E-02 1.47015929E-05 3.57196550E-07
6.98675872E-02 1.44929884E-05 3.62708450E-07
7.01550794E-02 1.46583299E-05 3.50577553E-07
7.04425714E-02 1.42150727E-05 3.60692976E-07
7.07300630E-02 1.38147506E-05 3.55058113E-07
7.10175542E-02 1.42468891E-05 3.56039272E-07
7.13050451E-02 1.40636478E-05 3.56950381E-07
7.15925356E-02 1.42228766E-05 3.50496040E-07
7.18800258E-02 1.33036587E-05 3.54406521E-07
7.21675156E-02 1.41889621E-05 3.59777990E-07
7.24550050E-02 1.37130886E-05 3.59997648E-07
7.27424941E-02 1.32732285E-05 3.61412720E-07
7.30299828E-02 1.31382440E-05 3.68337954E-07
7.33174711E-02 1.36143472E-05 3.79530337E-07
7.36049591E-02 1.29974492E-05 3.79795486E-07
7.38924467E-02 1.27131543E-05 3.83260475E-07
7.41799339E-02 1.25035470E-05 3.85597761E-07
7.44674207E-02 1.29628716E-05 3.86647324E-07
7.47549072E-02 1.16455211E-05 3.84841923E-07
7.50423933E-02 1.16757924E-05 3.80412863E-07
7.53298790E-02 1.22000843E-05 3.89323217E-07
7.56173644E-02 1.19077149E-05 3.88008306E-07
7.59048494E-02 1.13180092E-05 3.93780969E-07
7.61923339E-02 1.11857878E-05 3.86343339E-07
7.64798181E-02 1.09931993E-05 3.89510743E-07
7.67673020E-02 1.14819313E-05 3.92194815E-07
7.70547854E-02 1.20605336E-05 3.88612154E-07
7.73422684E-02 1.17410730E-05 3.78377473E-07
7.76297511E-02 1.03627596E-05 3.62079361E-07
7.79172333E-02 1.13310024E-05 3.63511707E-07
7.82047152E-02 1.05316164E-05 3.64799291E-07
7.84921967E-02 1.04685250E-05 3.52466450E-07
7.87796778E-02 1.04878154E-05 3.52595114E-07
7.90671585E-02 1.01224296E-05 3.49668252E-07
7.93546387E-02 1.04158816E-05 3.54366104E-07
7.96421186E-02 9.32218137E-06 3.54413461E-07
7.99295981E-02 1.03185404E-05 3.48500358E-07
8.02170772E-02 9.59942053E-06 3.51414784E-07
8.05045559E-02 9.86330631E-06 3.45593334E-07
8.07920342E-02 1.02603674E-05 3.51814932E-07
8.10795121E-02 1.01581194E-05 3.45936706E-07
8.13669895E-02 9.62240096E-06 3.46199130E-07
8.16544666E-02 9.52249462E-06 3.45617621E-07
8.19419432E-02 9.95346153E-06 3.43582667E-07
8.22294195E-02 8.77244464E-06 3.43301861E-07
8.25168953E-02 8.85349344E-06 3.44858097E-07
8.28043707E-02 9.78093039E-06 3.46644786E-07
8.30918457E-02 9.31891013E-06 3.46302396E-07
8.33793202E-02 8.77118365E-06 3.39135169E-07
8.36667944E-02 9.23531827E-06 3.41066590E-07
8.39542681E-02 8.68258075E-06 3.35960373E-07
8.42417414E-02 8.89146444E-06 3.40752243E-07
8.45292143E-02 8.05899889E-06 3.41179459E-07
8.48166868E-02 8.79896995E-06 3.34053309E-07
8.51041588E-02 8.95461296E-06 3.41037423E-07
8.53916304E-02 8.24312285E-06 3.38762011E-07
8.56791016E-02 7.97783411E-06 3.40004887E-07
8.59665723E-02 8.44873264E-06 3.35267519E-07
8.62540427E-02 8.47937670E-06 3.35937726E-07
8.65415125E-02 9.13113654E-06 3.38889662E-07
8.68289820E-02 8.22455282E-06 3.33441946E-07
8.71164510E-02 8.46218817E-06 3.36445501E-07
8.74039196E-02 7.80317701E-06 3.32401210E-07
8.76913877E-02 7.79662885E-06 3.33492075E-07
8.79788554E-02 8.62034200E-06 3.35917069E-07
8.82663226E-02 7.49311309E-06 3.36781952E-07
8.85537894E-02 8.01112945E-06 3.31552444E-07
8.88412558E-02 7.13628068E-06 3.26543560E-07
8.91287217E-02 7.24916789E-06 3.33512799E-07
8.94161872E-02 8.45295450E-06 3.31682484E-07
8.97036522E-02 7.41512856E-06 3.24360073E-07
8.99911167E-02 7.53754258E-06 3.23374299E-07
9.02785809E-02 7.33317821E-06 3.22486813E-07
9.05660445E-02 7.17645860E-06 3.22527809E-07
9.08535077E-02 7.31418283E-06 3.21042963E-07
9.11409705E-02 7.52649963E-06 3.26641447E-07
9.14284327E-02 7.22026753E-06 3.30521541E-07
9.17158946E-02 7.33268463E-06 3.23883707E-07
9.20033559E-02 7.04549343E-06 3.24251362E-07
9.22908168E-02 6.86059225E-06 3.22230307E-07
9.25782773E-02 6.75154492E-06 3.24349908E-07
9.28657372E-02 6.68204233E-06 3.25152518E-07
9.31531967E-02 7.09974839E-06 3.22752111E-07
9.34406558E-02 6.99704927E-06 3.22374890E-07
9.37281144E-02 6.26272949E-06 3.19010939E-07
9.40155725E-02 6.87473501E-06 3.24171254E-07
9.43030301E-02 5.61344630E-06 3.21371297E-07
9.45904872E-02 6.01142646E-06 3.17934502E-07
9.48779439E-02 6.25645191E-06 3.19945374E-07
9.51654001E-02 6.85658276E-06 3.18894353E-07
9.54528558E-02 6.10990134E-06 3.21900967E-07
9.57403111E-02 6.67508982E-06 3.14020346E-07
9.60277658E-02 6.01946896E-06 3.20336757E-07
9.63152201E-02 5.92149212E-06 3.16514118E-07
9.66026739E-02 6.00256060E-06 3.18456443E-07
9.68901272E-02 6.22365930E-06 3.16239096E-07
9.71775800E-02 5.99373747E-06 3.13666420E-07
9.74650323E-02 6.43871371E-06 3.20581390E-07
9.77524842E-02 6.53006347E-06 3.18569578E-07
9.80399355E-02 5.75613388E-06 3.13526628E-07
9.83273864E-02 6.29403561E-06 3.14653483E-07
9.86148367E-02 5.44906623E-06 3.11576581E-07
9.89022866E-02 5.85660452E-06 3.16466744E-07
9.91897360E-02 5.66008491E-06 3.16433346E-07
9.94771848E-02 5.19263818E-06 3.13086446E-07
9.97646332E-02 5.69654329E-06 3.14596269E-07
1.00052081E-01 5.48391931E-06 3.14567016E-07
1.00339528E-01 5.21490310E-06 3.14418306E-07
1.00626975E-01 6.03895385E-06 3.10776206E-07
1.00914422E-01 5.27470591E-06 3.12837727E-07
1.01201867E-01 5.63630464E-06 3.13692479E-07
1.01489313E-01 5.55304017E-06 3.12986316E-07
1.01776758E-01 5.72662180E-06 3.11166229E-07
1.02064202E-01 5.01901413E-06 3.10689570E-07
1.02351646E-01 5.54190498E-06 3.10480908E-07
1.02639089E-01 5.32116327E-06 3.11700869E-07
1.02926532E-01 5.57238340E-06 3.10430687E-07
1.03213974E-01 5.21028117E-06 3.07780304E-07
1.03501416E-01 4.75392295E-06 3.08825900E-07
1.03788857E-01 5.28261841E-06 3.11018709E-07
1.04076298E-01 4.21131676E-06 3.09347007E-07
1.04363738E-01 5.34627002E-06 3.06391681E-07
1.04651178E-01 5.29020664E-06 3.08474989E-07
1.04938617E-01 5.43876390E-06 3.03742196E-07
1.05226055E-01 4.89378402E-06 3.00770948E-07
1.05513493E-01 4.99940886E-06 2.99959920E-07
1.05800931E-01 4.45126985E-06 3.03941904E-07
1.06088368E-01 4.71856537E-06 3.04023319E-07
1.06375804E-01 5.01848603E-06 3.05221070E-07
1.06663240E-01 3.98254033E-06 3.03373938E-07
1.06950676E-01 4.93231256E-06 3.02063713E-07
1.07238110E-01 5.20819098E-06 3.01489695E-07
1.07525545E-01 4.96870542E-06 2.97018268E-07
1.07812979E-01 5.02642362E-06 2.99570164E-07
1.08100412E-01 5.44575926E-06 2.98939981E-07
1.08387845E-01 4.68064093E-06 3.00956517E-07
1.08675277E-01 4.72790061E-06 3.00861039E-07
1.08962708E-01 4.72730284E-06 2.97938884E-07
1.09250139E-01 4.42506468E-06 2.99108075E-07
1.09537570E-01 4.63084274E-06 2.98475803E-07
1.09825000E-01 4.72149225E-06 3.00625215E-07
1.10112429E-01 4.44217781E-06 3.00615826E-07
1.10399858E-01 3.74925810E-06 2.92765817E-07
1.10687286E-01 3.84302657E-06 2.98081282E-07
1.10974714E-01 4.67045892E-06 2.97874613E-07
1.11262141E-01 3.63648714E-06 2.97964100E-07
1.11549568E-01 4.36916964E-06 2.97531235E-07
1.11836994E-01 4.34567434E-06 2.95600060E-07
1.12124419E-01 4.90906987E-06 2.97507892E-07
1.12411844E-01 4.13311786E-06 2.95400437E-07
1.12699269E-01 4.75958708E-06 2.98317531E-07
1.12986693E-01 4.22095681E-06 2.97541074E-07
1.13274116E-01 3.95330571E-06 2.95744050E-07
1.13561538E-01 4.69391759E-06 2.98151677E-07
1.13848960E-01 4.01578007E-06 2.90825779E-07
1.14136382E-01 4.37156191E-06 2.92475818E-07
1.14423803E-01 3.78290901E-06 2.96552433E-07
1.14711223E-01 4.18677042E-06 2.95117370E-07
1.14998643E-01 4.14862331E-06 2.97723191E-07
1.15286062E-01 4.23223700E-06 2.91399671E-07
1.15573481E-01 4.66042181E-06 2.93786780E-07
1.15860899E-01 4.33200953E-06 2.93722166E-07
1.16148317E-01 3.79502382E-06 2.94921446E-07
1.16435733E-01 4.03951227E-06 2.93307935E-07
1.16723150E-01 4.24899870E-06 2.90291840E-07
1.17010565E-01 3.84290664E-06 2.93772612E-07
1.17297981E-01 4.32176182E-06 2.93590642E-07
1.17585395E-01 3.27663030E-06 2.90825330E-07
1.17872809E-01 3.60515585E-06 2.89291221E-07
1.18160222E-01 4.10422279E-06 2.91917927E-07
1.18447635E-01 3.73964542E-06 2.93458460E-07
1.18735047E-01 4.30430038E-06 2.91104915E-07
1.19022459E-01 3.55240810E-06 2.89953988E-07
1.19309870E-01 2.96368630E-06 2.89664178E-07
1.19597280E-01 4.41441078E-06 2.91880943E-07
1.19884690E-01 3.68724981E-06 2.91929108E-07
1.20172099E-01 3.93587092E-06 2.88570662E-07
1.20459508E-01 3.43356981E-06 2.90571160E-07
1.20746916E-01 2.93195493E-06 2.87537536E-07
1.21034323E-01 3.32485409E-06 2.88938645E-07
1.21321730E-01 3.85994621E-06 2.89129078E-07
1.21609136E-01 4.23519333E-06 2.89179479E-07
1.21896541E-01 3.52061163E-06 2.89124429E-07
1.22183946E-01 3.92100445E-06 2.89432602E-07
1.22471351E-01 3.71829405E-06 2.84181153E-07
1.22758754E-01 2.95453456E-06 2.85387258E-07
1.23046157E-01 3.49578614E-06 2.88420369E-07
1.23333560E-01 3.53647152E-06 2.87712339E-07
1.23620962E-01 3.70156625E-06 2.84772063E-07
1.23908363E-01 3.37386181E-06 2.86203615E-07
1.24195763E-01 3.59742920E-06 2.85221686E-07
1.24483163E-01 3.70321594E-06 2.87347767E-07
1.24770563E-01 3.38190068E-06 2.89717502E-07
1.25057961E-01 3.20925525E-06 2.95029175E-07
1.25345360E-01 3.19559672E-06 3.01504319E-07
1.25632757E-01 3.27098232E-06 2.99833276E-07
1.25920154E-01 2.90825088E-06 3.04650037E-07
1.26207550E-01 3.22609766E-06 3.04192329E-07
1.26494946E-01 3.51670442E-06 3.09155470E-07
1.26782340E-01 3.71292023E-06 3.12112358E-07
1.27069735E-01 3.21606205E-06 3.02220798E-07
1.27357128E-01 3.73742886E-06 2.99767388E-07
1.27644521E-01 3.74071981E-06 2.93620476E-07
1.27931914E-01 3.18139483E-06 3.01152660E-07
1.28219305E-01 3.41040795E-06 2.97989155E-07
1.28506696E-01 3.36439759E-06 2.92708558E-07
1.28794087E-01 2.48452659E-06 2.95340456E-07
1.29081477E-01 3.19673153E-06 2.91230716E-07
1.29368866E-01 3.18222346E-06 2.94095666E-07
1.29656254E-01 2.71029752E-06 2.91640824E-07
1.29943642E-01 2.86613282E-06 2.87094420E-07
1.30231029E-01 2.99012053E-06 2.94166330E-07
1.30518416E-01 2.74721320E-06 2.87501961E-07
1.30805802E-01 3.03414379E-06 2.90550734E-07
1.31093187E-01 2.81814679E-06 2.88314510E-07
1.31380571E-01 2.98633685E-06 2.87791699E-07
1.31667955E-01 2.50638935E-06 2.90092723E-07
1.31955338E-01 3.85043876E-06 2.85549162E-07
1.32242721E-01 3.10789722E-06 2.88829347E-07
1.32530103E-01 3.10958870E-06 2.87586037E-07
1.32817484E-01 3.42021243E-06 2.84486369E-07
1.33104865E-01 3.02468649E-06 2.92012706E-07
1.33392245E-01 3.35251431E-06 2.95142920E-07
1.33679624E-01 2.88676964E-06 2.97663694E-07
1.33967002E-01 2.83457632E-06 2.99636112E-07
1.34254380E-01 2.78458407E-06 3.04148993E-07
1.34541757E-01 2.74846796E-06 3.02574719E-07
1.34829134E-01 2.67233252E-06 3.01441923E-07
1.35116510E-01 2.53656904E-06 3.05140780E-07
1.35403885E-01 2.89455155E-06 3.01335943E-07
1.35691259E-01 2.33149933E-06 3.03793639E-07
1.35978633E-01 3.38791048E-06 3.04843326E-07
1.36266006E-01 2.40212036E-06 3.06816696E-07
1.36553379E-01 3.56786840E-06 3.10879093E-07
1.36840751E-01 2.85324813E-06 3.08835942E-07
1.37128122E-01 2.13430957E-06 3.06153889E-07
1.37415492E-01 2.90813453E-06 3.07464625E-07
1.37702862E-01 3.04989870E-06 3.08958639E-07
1.37990231E-01 2.84956656E-06 3.12246994E-07
1.38277599E-01 2.86799905E-06 2.97090379E-07
1.38564967E-01 2.74145328E-06 2.95009872E-07
1.38852333E-01 2.88710858E-06 2.86898444E-07
1.39139700E-01 2.74159409E-06 2.92134649E-07
1.39427065E-01 3.11247198E-06 2.86874159E-07
1.39714430E-01 2.76526354E-06 2.86339548E-07
1.40001794E-01 2.83039615E-06 2.89211376E-07
1.40289157E-01 2.46114389E-06 2.86235130E-07
1.40576520E-01 2.81704039E-06 2.84538586E-07
1.40863882E-01 2.10177316E-06 2.82251081E-07
1.41151243E-01 3.02275664E-06 2.83139229E-07
1.41438604E-01 2.61318875E-06 2.84936037E-07
1.41725964E-01 2.69275390E-06 2.84275624E-07
1.42013323E-01 2.78843876E-06 2.83989614E-07
1.42300681E-01 2.38182174E-06 2.79637550E-07
1.42588039E-01 2.79275802E-06 2.81443804E-07
1.42875396E-01 2.94790496E-06 2.81039531E-07
1.43162752E-01 2.54633736E-06 2.79600252E-07
1.43450108E-01 2.87074526E-06 2.82626667E-07
1.43737463E-01 2.40631336E-06 2.77815979E-07
1.44024817E-01 2.58330799E-06 2.77484171E-07
1.44312170E-01 2.28251368E-06 2.72244187E-07
1.44599523E-01 2.41084139E-06 2.71934817E-07
1.44886875E-01 2.36839544E-06 2.73503593E-07
1.45174226E-01 2.39621793E-06 2.77074514E-07
1.45461577E-01 2.44393835E-06 2.72948837E-07
1.45748927E-01 2.57823722E-06 2.70728800E-07
1.46036276E-01 2.04310098E-06 2.72964461E-07
1.46323624E-01 2.47323274E-06 2.73088206E-07
1.46610971E-01 1.98651149E-06 2.72498770E-07
1.46898318E-01 2.61567008E-06 2.70259044E-07
1.47185664E-01 1.80435786E-06 2.71477719E-07
1.47473010E-01 2.42239133E-06 2.71585631E-07
1.47760354E-01 2.29086114E-06 2.72351137E-07
1.48047698E-01 1.74440327E-06 2.69888643E-07
1.48335041E-01 1.65589017E-06 2.71717953E-07
1.48622384E-01 2.45682804E-06 2.74138314E-07
1.48909725E-01 2.14526363E-06 2.73415088E-07
1.49197066E-01 2.26158175E-06 2.70769893E-07
1.49484406E-01 2.63892749E-06 2.71275039E-07
1.49771746E-01 2.65377418E-06 2.71349118E-07
1.50059084E-01 2.06264195E-06 2.72226745E-07
1.50346422E-01 2.39792990E-06 2.72482896E-07
1.50633759E-01 2.45015673E-06 2.68746904E-07
1.50921096E-01 2.13921664E-06 2.70916978E-07
1.51208431E-01 2.06350149E-06 2.67645457E-07
1.51495766E-01 1.85735607E-06 2.70641032E-07
1.51783100E-01 2.56370585E-06 2.70967733E-07
1.52070433E-01 1.93937774E-06 2.66140795E-07
1.52357766E-01 1.94678172E-06 2.70481219E-07
1.52645098E-01 2.24453893E-06 2.67922550E-07
1.52932429E-01 1.95389556E-06 2.69741834E-07
