### DATA:
#
# 1219
#      Q             I(Q)           Error     
1.48605181E-01  1.90864275E-05  1.28174327E-05
1.48889737E-01  3.82442989E-05  1.29550043E-05
1.49174293E-01  1.68306756E-06  1.28210182E-05
1.49458848E-01  1.70453060E-05  1.28853242E-05
1.49743402E-01  1.85844962E-05  1.28920017E-05
1.50027955E-01  3.98832478E-06  1.28020678E-05
1.50312508E-01  2.21906825E-05  1.28748712E-05
1.50597060E-01  2.77458616E-05  1.27431318E-05
1.50881611E-01  1.15574864E-05  1.28795077E-05
1.51166162E-01  1.93198389E-06  1.28389808E-05
1.51450711E-01  1.11805996E-05  1.28722141E-05
1.51735260E-01  3.38495995E-05  1.27089476E-05
1.52019809E-01  1.76364451E-05  1.26650039E-05
1.52304356E-01  1.32823689E-05  1.26314348E-05
1.52588903E-01  2.57637031E-05  1.27052509E-05
1.52873449E-01  2.31753909E-05  1.26652828E-05
1.53157994E-01  2.23235777E-06  1.27202410E-05
1.53442539E-01  -1.68924183E-06  1.26067605E-05
1.53727082E-01  4.14929834E-05  1.27467414E-05
1.54011625E-01  2.66376856E-05  1.26456809E-05
1.54296168E-01  2.88633371E-05  1.25680583E-05
1.54580709E-01  -4.93129712E-06  1.25585108E-05
1.54865250E-01  -9.26325075E-06  1.27071065E-05
1.55149790E-01  4.70468246E-06  1.26692507E-05
1.55434329E-01  1.59020601E-05  1.24915008E-05
1.55718867E-01  5.27594439E-05  1.25484655E-05
1.56003405E-01  2.65876356E-05  1.25295342E-05
1.56287942E-01  3.96237898E-05  1.26018244E-05
1.56572478E-01  -1.50726301E-06  1.25870344E-05
1.56857013E-01  1.74134640E-05  1.24993322E-05
1.57141548E-01  -5.94322113E-06  1.26435937E-05
1.57426082E-01  4.53650388E-06  1.25402978E-05
1.57710615E-01  2.11697424E-05  1.24605205E-05
1.57995147E-01  1.26250359E-05  1.25324128E-05
1.58279678E-01  3.18051929E-05  1.25190335E-05
1.58564209E-01  2.79290216E-05  1.25798833E-05
1.58848739E-01  2.45629953E-05  1.23300367E-05
1.59133268E-01  3.45724145E-05  1.24804269E-05
1.59417796E-01  2.58417587E-05  1.24985200E-05
1.59702324E-01  3.23773830E-05  1.25652498E-05
1.59986851E-01  1.94519920E-06  1.24616716E-05
1.60271377E-01  5.86051540E-07  1.21257172E-05
1.60555902E-01  2.50793840E-05  1.21888071E-05
1.60840426E-01  1.34652451E-05  1.22066058E-05
1.61124950E-01  2.58460329E-05  1.23278989E-05
1.61409473E-01  1.16106011E-05  1.23215590E-05
1.61693995E-01  2.06073828E-05  1.22239683E-05
1.61978516E-01  2.54047044E-05  1.24354477E-05
1.62263036E-01  2.18149727E-05  1.23324085E-05
1.62547556E-01  1.69497968E-05  1.23570420E-05
1.62832075E-01  -1.44947019E-05  1.24915423E-05
1.63116593E-01  3.79537422E-06  1.23851610E-05
1.63401110E-01  2.94555761E-05  1.24229445E-05
1.63685626E-01  -5.43543006E-06  1.22343343E-05
1.63970142E-01  1.64785112E-05  1.22530719E-05
1.64254657E-01  8.12612333E-06  1.22934440E-05
1.64539170E-01  2.26893865E-05  1.23182699E-05
1.64823684E-01  1.46085018E-05  1.22755767E-05
1.65108196E-01  2.65865584E-05  1.22870149E-05
1.65392708E-01  2.00120498E-05  1.22482000E-05
1.65677218E-01  3.43449925E-05  1.22767141E-05
1.65961728E-01  1.66709874E-05  1.22043890E-05
1.66246237E-01  2.01762907E-05  1.22201334E-05
1.66530746E-01  1.62844257E-06  1.22852867E-05
1.66815253E-01  1.07822108E-05  1.22846015E-05
1.67099760E-01  2.03679369E-05  1.22903157E-05
1.67384265E-01  -2.07680207E-06  1.21388506E-05
1.67668770E-01  1.27602487E-05  1.21573661E-05
1.67953275E-01  1.18478625E-05  1.22737814E-05
1.68237778E-01  2.02063929E-06  1.22948542E-05
1.68522280E-01  1.70249997E-05  1.21391420E-05
1.68806782E-01  1.27659351E-05  1.21593799E-05
1.69091283E-01  9.40116204E-06  1.19869100E-05
1.69375783E-01  2.20859102E-05  1.21172738E-05
1.69660282E-01  5.04574548E-06  1.19182442E-05
1.69944780E-01  1.89613469E-05  1.19250993E-05
1.70229278E-01  1.52506716E-05  1.19862263E-05
1.70513774E-01  7.36840759E-06  1.19108112E-05
1.70798270E-01  1.62578400E-05  1.20238628E-05
1.71082765E-01  -3.82903327E-06  1.19175306E-05
1.71367259E-01  1.95336310E-06  1.20030669E-05
1.71651753E-01  -6.74701296E-06  1.20626174E-05
1.71936245E-01  1.05502471E-05  1.19382946E-05
1.72220737E-01  1.98057001E-05  1.20226800E-05
1.72505227E-01  5.92492941E-06  1.18969969E-05
1.72789717E-01  7.07405954E-06  1.19409042E-05
1.73074206E-01  3.13470286E-05  1.19792980E-05
1.73358695E-01  1.43274745E-05  1.18510732E-05
1.73643182E-01  9.82124356E-06  1.20365604E-05
1.73927668E-01  6.34598761E-06  1.18060795E-05
1.74212154E-01  7.67464222E-06  1.18701595E-05
1.74496639E-01  3.84244862E-05  1.19285622E-05
1.74781123E-01  2.02752403E-05  1.18107787E-05
1.75065606E-01  3.26546447E-05  1.19618860E-05
1.75350088E-01  2.83256063E-05  1.18407367E-05
1.75634569E-01  1.68118125E-05  1.18639597E-05
1.75919050E-01  -1.15014328E-05  1.17675455E-05
1.76203529E-01  -2.06885555E-06  1.18777331E-05
1.76488008E-01  1.54964560E-05  1.19502494E-05
1.76772486E-01  2.15403216E-05  1.17678442E-05
1.77056963E-01  -3.29690100E-07  1.18852465E-05
1.77341439E-01  2.59442993E-05  1.18028724E-05
1.77625914E-01  1.60890031E-05  1.18263758E-05
1.77910389E-01  6.56367253E-06  1.19054723E-05
1.78194862E-01  -5.02772507E-06  1.17615850E-05
1.78479335E-01  1.70604855E-05  1.18379750E-05
1.78763806E-01  9.44953756E-06  1.18532478E-05
1.79048277E-01  2.32209881E-05  1.19196318E-05
1.79332747E-01  1.89537157E-05  1.18526808E-05
1.79617216E-01  -4.84418554E-06  1.17352929E-05
1.79901685E-01  2.72121690E-05  1.17371520E-05
1.80186152E-01  4.70885660E-06  1.18526795E-05
1.80470618E-01  2.31389169E-05  1.18346325E-05
1.80755084E-01  -7.65188703E-06  1.17858517E-05
1.81039548E-01  -7.43536408E-06  1.18035282E-05
1.81324012E-01  1.85552254E-05  1.18463804E-05
1.81608475E-01  1.62943269E-05  1.17716315E-05
1.81892937E-01  2.24669775E-06  1.17309755E-05
1.82177398E-01  -4.07897594E-06  1.18108628E-05
1.82461858E-01  -3.53826376E-06  1.18032915E-05
1.82746318E-01  1.73738268E-05  1.17454899E-05
1.83030776E-01  1.48304137E-05  1.17557863E-05
1.83315233E-01  2.21338648E-05  1.16862733E-05
1.83599690E-01  2.98982137E-05  1.17535226E-05
1.83884146E-01  -1.14401234E-05  1.16633592E-05
1.84168600E-01  2.85951540E-06  1.17567661E-05
1.84453054E-01  1.21828427E-05  1.16646466E-05
1.84737507E-01  -1.05194828E-06  1.16992603E-05
1.85021959E-01  2.10419523E-05  1.17667145E-05
1.85306410E-01  8.97918530E-06  1.16641822E-05
1.85590861E-01  6.38861128E-06  1.16408379E-05
1.85875310E-01  8.54228441E-06  1.16270696E-05
1.86159758E-01  2.30607574E-05  1.16022744E-05
1.86444206E-01  -7.63634811E-06  1.15642947E-05
1.86728652E-01  1.00028479E-05  1.14118899E-05
1.87013098E-01  6.65845527E-06  1.14123990E-05
1.87297543E-01  -1.58947341E-05  1.15999142E-05
1.87581986E-01  9.73432416E-06  1.15380441E-05
1.87866429E-01  1.30736293E-05  1.16177621E-05
1.88150871E-01  1.95020184E-05  1.19367058E-05
1.88435312E-01  8.89352195E-06  1.19611360E-05
1.88719752E-01  -3.09953961E-06  1.22469219E-05
1.89004191E-01  4.32633771E-06  1.21929417E-05
1.89288630E-01  -8.08063819E-06  1.23543610E-05
1.89573067E-01  1.91321442E-05  1.23969052E-05
1.89857503E-01  1.17827942E-05  1.23552881E-05
1.90141939E-01  3.34995049E-05  1.25358356E-05
1.90426373E-01  5.26854044E-06  1.24220144E-05
1.90710807E-01  1.77428836E-05  1.24703091E-05
1.90995239E-01  -4.47786386E-06  1.25376122E-05
1.91279671E-01  1.77201583E-05  1.25367435E-05
1.91564102E-01  3.11183335E-05  1.26150749E-05
1.91848531E-01  -8.87498094E-06  1.26251342E-05
1.92132960E-01  1.89446018E-05  1.27136259E-05
1.92417388E-01  1.34493545E-05  1.25746309E-05
1.92701815E-01  1.06476023E-05  1.26611964E-05
1.92986241E-01  2.60711562E-05  1.24651993E-05
1.93270666E-01  2.06746316E-05  1.20942927E-05
1.93555090E-01  3.39003302E-06  1.20247845E-05
1.93839513E-01  2.62369274E-05  1.19347252E-05
1.94123936E-01  1.17937209E-05  1.18967155E-05
1.94408357E-01  -2.75706162E-06  1.17965555E-05
1.94692777E-01  -6.62686745E-07  1.18757680E-05
1.94977196E-01  -8.06953153E-06  1.17827440E-05
1.95261615E-01  3.49704060E-06  1.17724357E-05
1.95546032E-01  1.41460212E-05  1.18002284E-05
1.95830449E-01  2.02111499E-05  1.17241253E-05
1.96114864E-01  -7.07132052E-06  1.17476885E-05
1.96399279E-01  -9.34337297E-07  1.17069075E-05
1.96683692E-01  1.85497508E-05  1.16530690E-05
1.96968105E-01  2.00657223E-05  1.17423318E-05
1.97252516E-01  1.68812314E-05  1.15857662E-05
1.97536927E-01  1.03389483E-05  1.15938393E-05
1.97821336E-01  -1.56444108E-05  1.16997624E-05
1.98105745E-01  -1.38898210E-06  1.16193242E-05
1.98390153E-01  1.96007802E-05  1.17169317E-05
1.98674560E-01  5.33334617E-06  1.15071329E-05
1.98958965E-01  -2.45103239E-07  1.16488095E-05
1.99243370E-01  -2.55393374E-06  1.15464887E-05
1.99527774E-01  4.43522869E-06  1.16288039E-05
1.99812177E-01  1.38629904E-05  1.15704723E-05
2.00096578E-01  1.13868111E-05  1.15500270E-05
2.00380979E-01  -2.25598727E-05  1.15832579E-05
2.00665379E-01  2.65992866E-05  1.14739296E-05
2.00949778E-01  1.78549465E-05  1.14893994E-05
2.01234176E-01  -1.45482680E-05  1.14097990E-05
2.01518573E-01  8.37360296E-06  1.14731551E-05
2.01802969E-01  9.11045457E-06  1.16300206E-05
2.02087364E-01  2.37193773E-05  1.14253545E-05
2.02371757E-01  9.25288679E-06  1.14462218E-05
2.02656150E-01  -1.21601983E-05  1.14673794E-05
2.02940542E-01  -6.89119620E-06  1.14753496E-05
2.03224933E-01  1.09023193E-05  1.15615010E-05
2.03509323E-01  -7.86505028E-06  1.14056341E-05
2.03793712E-01  1.70911157E-05  1.13662912E-05
2.04078100E-01  -1.53576877E-05  1.12550011E-05
2.04362487E-01  1.01216684E-05  1.12530576E-05
2.04646873E-01  -2.10782159E-06  1.12849631E-05
2.04931258E-01  3.24339994E-06  1.12148487E-05
2.05215641E-01  -7.89948798E-07  1.13220382E-05
2.05500024E-01  -9.08204284E-06  1.12724541E-05
2.05784406E-01  1.68917322E-05  1.12768518E-05
2.06068787E-01  2.96593715E-06  1.12337025E-05
2.06353167E-01  1.17073302E-05  1.11978699E-05
2.06637546E-01  -1.86296816E-06  1.13125717E-05
2.06921923E-01  1.07115022E-05  1.11897630E-05
2.07206300E-01  5.92635653E-06  1.12105700E-05
2.07490676E-01  2.17155173E-06  1.11961470E-05
2.07775051E-01  1.05802459E-05  1.12394924E-05
2.08059424E-01  2.90771841E-06  1.13207575E-05
2.08343797E-01  1.32446098E-05  1.11428442E-05
2.08628169E-01  -1.47467843E-05  1.12753064E-05
2.08912539E-01  6.04427814E-06  1.11646362E-05
2.09196909E-01  1.03532059E-05  1.12291344E-05
2.09481277E-01  6.61745962E-06  1.12106730E-05
2.09765645E-01  1.15132130E-05  1.11944985E-05
2.10050011E-01  -2.28084224E-06  1.12663340E-05
2.10334377E-01  3.14053381E-06  1.11717824E-05
2.10618741E-01  1.88087281E-06  1.12594018E-05
2.10903105E-01  5.09548230E-06  1.11457872E-05
2.11187467E-01  -1.79442449E-05  1.11755559E-05
2.11471828E-01  -1.37618074E-06  1.12455688E-05
2.11756189E-01  -7.94463558E-06  1.11418853E-05
2.12040548E-01  -1.07699474E-05  1.11930334E-05
2.12324906E-01  9.06630836E-06  1.11333130E-05
2.12609263E-01  -4.78814994E-06  1.11653014E-05
2.12893619E-01  -4.06814769E-06  1.11580295E-05
2.13177974E-01  1.81919164E-05  1.11454367E-05
2.13462328E-01  -3.45372340E-06  1.11016842E-05
2.13746681E-01  6.99432427E-06  1.10680609E-05
2.14031033E-01  -2.44011006E-06  1.12075091E-05
2.14315384E-01  -3.47935305E-06  1.10631579E-05
2.14599734E-01  8.66558917E-06  1.11221002E-05
2.14884083E-01  1.25225620E-05  1.12347437E-05
2.15168430E-01  -8.18281153E-06  1.10740348E-05
2.15452777E-01  1.73760765E-05  1.10600714E-05
2.15737123E-01  5.10705377E-06  1.10237775E-05
2.16021467E-01  2.46447622E-06  1.11530731E-05
2.16305811E-01  -1.04560864E-05  1.11215536E-05
2.16590153E-01  8.45041634E-06  1.09609685E-05
2.16874494E-01  -1.83769698E-06  1.10629643E-05
2.17158834E-01  -4.25677821E-06  1.09684318E-05
2.17443174E-01  1.99376475E-05  1.10663126E-05
2.17727512E-01  9.13628694E-06  1.10706319E-05
2.18011849E-01  -6.68121179E-06  1.10022338E-05
2.18296185E-01  -1.56588772E-05  1.10796450E-05
2.18580520E-01  6.16108366E-06  1.09927933E-05
2.18864853E-01  1.19462289E-05  1.10322188E-05
2.19149186E-01  -2.65661611E-06  1.10609036E-05
2.19433518E-01  1.86452004E-05  1.09854636E-05
2.19717848E-01  2.20489865E-05  1.11315759E-05
2.20002178E-01  -3.30705100E-06  1.09104626E-05
2.20286506E-01  -5.00482037E-06  1.09583996E-05
2.20570834E-01  1.82500481E-05  1.07789348E-05
2.20855160E-01  -4.00887988E-06  1.06842320E-05
2.21139485E-01  -8.27247371E-07  1.08007070E-05
2.21423809E-01  -2.13637116E-06  1.05482537E-05
2.21708132E-01  -2.31045699E-06  1.06977091E-05
2.21992454E-01  5.58194380E-06  1.07566448E-05
2.22276775E-01  -8.58875467E-06  1.07578639E-05
2.22561094E-01  -4.30861331E-06  1.07802696E-05
2.22845413E-01  6.08669950E-06  1.06734105E-05
2.23129730E-01  1.30888065E-05  1.07410072E-05
2.23414047E-01  9.76308927E-07  1.07119553E-05
2.23698362E-01  3.91638296E-06  1.07736254E-05
2.23982676E-01  1.44815087E-05  1.06917896E-05
2.24266989E-01  -6.05291545E-06  1.07734729E-05
2.24551301E-01  1.04839470E-05  1.07968383E-05
2.24835612E-01  1.86955704E-05  1.07401859E-05
2.25119922E-01  1.35552797E-05  1.07887254E-05
2.25404231E-01  -4.03240730E-06  1.07607550E-05
2.25688538E-01  1.45023258E-05  1.07717178E-05
2.25972845E-01  1.30118522E-05  1.07869274E-05
2.26257150E-01  1.68586709E-05  1.07600178E-05
2.26541454E-01  -3.19994044E-06  1.07539311E-05
2.26825757E-01  1.23189982E-05  1.07797934E-05
2.27110059E-01  4.55024767E-06  1.07741387E-05
2.27394360E-01  2.82649811E-06  1.07601737E-05
2.27678660E-01  6.65293021E-06  1.06889675E-05
2.27962959E-01  -2.49998837E-06  1.08590837E-05
2.28247256E-01  8.35817358E-07  1.07185740E-05
2.28531553E-01  1.73641557E-05  1.07872317E-05
2.28815848E-01  1.70590014E-05  1.06518283E-05
2.29100142E-01  5.31977446E-06  1.07285622E-05
2.29384435E-01  -6.10564903E-06  1.07462224E-05
2.29668727E-01  1.38469750E-05  1.07077129E-05
2.29953018E-01  6.29574848E-06  1.07076903E-05
2.30237307E-01  -7.10582672E-06  1.06782112E-05
2.30521596E-01  -1.63455252E-06  1.07177327E-05
2.30805883E-01  -4.88743809E-06  1.06767171E-05
2.31090169E-01  2.15474880E-05  1.07169383E-05
2.31374455E-01  2.25238092E-07  1.06999087E-05
2.31658739E-01  -2.24408386E-05  1.06611072E-05
2.31943021E-01  -1.12887303E-05  1.07071139E-05
2.32227303E-01  1.16282944E-05  1.06423901E-05
2.32511584E-01  8.32379630E-06  1.05918977E-05
2.32795863E-01  2.85783128E-06  1.07547115E-05
2.33080141E-01  -1.74979584E-05  1.05813277E-05
2.33364418E-01  -1.91129892E-06  1.06624576E-05
2.33648694E-01  4.80731205E-06  1.06205947E-05
2.33932969E-01  1.18290895E-06  1.06179283E-05
2.34217243E-01  9.79786009E-06  1.06439295E-05
2.34501515E-01  -7.63212399E-06  1.06166597E-05
2.34785786E-01  6.79312770E-06  1.06650324E-05
2.35070057E-01  1.24914256E-05  1.05752339E-05
2.35354326E-01  1.73892884E-05  1.05728320E-05
2.35638594E-01  1.20349503E-05  1.05967487E-05
2.35922860E-01  1.99107825E-05  1.06039890E-05
2.36207126E-01  -9.82111198E-06  1.06267431E-05
2.36491390E-01  9.76207302E-06  1.05376414E-05
2.36775653E-01  -1.14587600E-05  1.06150342E-05
2.37059915E-01  1.24434520E-05  1.05755478E-05
2.37344176E-01  8.10657163E-07  1.05998898E-05
2.37628436E-01  -4.76819251E-06  1.05440860E-05
2.37912695E-01  -3.01961962E-06  1.05774445E-05
2.38196952E-01  -2.90130011E-09  1.05257329E-05
2.38481208E-01  5.81911970E-06  1.05022926E-05
2.38765463E-01  1.30467947E-05  1.03600241E-05
2.39049717E-01  2.08162364E-05  1.03997315E-05
2.39333970E-01  9.49895106E-06  1.04535147E-05
2.39618221E-01  -1.15341156E-05  1.04051652E-05
2.39902472E-01  -3.58238861E-06  1.04059587E-05
2.40186721E-01  2.38341212E-06  1.03972658E-05
2.40470969E-01  3.95121339E-06  1.04409673E-05
2.40755216E-01  9.30107297E-06  1.04484464E-05
2.41039461E-01  1.67715813E-05  1.04497136E-05
2.41323706E-01  -1.12439141E-05  1.04221566E-05
2.41607949E-01  -6.68465600E-06  1.04856529E-05
2.41892191E-01  -1.13404974E-05  1.03963999E-05
2.42176432E-01  1.04395969E-05  1.04548353E-05
2.42460671E-01  1.03910675E-05  1.03879612E-05
2.42744910E-01  1.03384711E-05  1.04726161E-05
2.43029147E-01  -6.90850189E-06  1.04529151E-05
2.43313383E-01  -1.27863806E-05  1.03393999E-05
2.43597618E-01  5.01947225E-08  1.04841880E-05
2.43881852E-01  -1.19194970E-06  1.03558491E-05
2.44166084E-01  -1.26671739E-05  1.05080733E-05
2.44450316E-01  7.35389349E-06  1.04626472E-05
2.44734546E-01  -5.07046061E-06  1.03308552E-05
2.45018775E-01  1.80223832E-06  1.04629462E-05
2.45303002E-01  1.36101687E-05  1.03680419E-05
2.45587229E-01  1.75853292E-06  1.03862485E-05
2.45871454E-01  -2.36047822E-05  1.03588676E-05
2.46155678E-01  4.49888054E-07  1.04120226E-05
2.46439901E-01  1.03829846E-06  1.04637328E-05
2.46724122E-01  -5.67353443E-06  1.03114085E-05
2.47008343E-01  -4.55932361E-06  1.03756873E-05
2.47292562E-01  4.13138392E-06  1.03491359E-05
2.47576780E-01  8.62385117E-06  1.03553313E-05
2.47860997E-01  1.19800511E-05  1.03678971E-05
2.48145212E-01  2.02579434E-06  1.01947274E-05
2.48429427E-01  -1.82386848E-06  1.04089852E-05
2.48713640E-01  -5.57811232E-06  1.06380130E-05
2.48997852E-01  1.44528923E-05  1.07235066E-05
2.49282062E-01  1.68885405E-05  1.09124530E-05
2.49566272E-01  -4.79198130E-06  1.08683092E-05
2.49850480E-01  1.57118201E-05  1.10319344E-05
2.50134687E-01  -9.18127017E-06  1.09433827E-05
2.50418893E-01  -7.68908221E-07  1.10131485E-05
2.50703097E-01  1.98800651E-05  1.10341567E-05
2.50987300E-01  -9.39360137E-06  1.10754355E-05
2.51271502E-01  -3.66955814E-06  1.11494665E-05
2.51555703E-01  1.03859265E-05  1.10405877E-05
2.51839903E-01  1.56705515E-05  1.10869871E-05
2.52124101E-01  9.11324064E-06  1.11129196E-05
2.52408298E-01  8.20699814E-06  1.11748207E-05
2.52692494E-01  6.35790245E-06  1.11988611E-05
2.52976689E-01  8.12807938E-07  1.10979155E-05
2.53260882E-01  1.63829385E-05  1.13209176E-05
2.53545074E-01  1.54992923E-05  1.11894924E-05
2.53829265E-01  -1.36109148E-05  1.11880134E-05
2.54113455E-01  7.28992126E-06  1.11896842E-05
2.54397643E-01  2.11017884E-05  1.12662749E-05
2.54681830E-01  2.63161527E-05  1.13882253E-05
2.54966016E-01  2.30572818E-05  1.13641654E-05
2.55250201E-01  -1.84367576E-06  1.12878588E-05
2.55534384E-01  5.77943795E-06  1.12379731E-05
2.55818566E-01  1.46756945E-05  1.13017932E-05
2.56102747E-01  9.22883779E-06  1.16127495E-05
2.56386926E-01  -1.80412277E-05  1.16470771E-05
2.56671105E-01  1.41924858E-05  1.18832025E-05
2.56955282E-01  -7.14632842E-06  1.19939402E-05
2.57239458E-01  5.96748263E-06  1.22615112E-05
2.57523632E-01  9.24067377E-06  1.23060992E-05
2.57807805E-01  7.93427360E-06  1.23846751E-05
2.58091977E-01  -1.04815597E-05  1.25607961E-05
2.58376148E-01  1.55541066E-05  1.25800266E-05
2.58660318E-01  1.36349172E-05  1.27697227E-05
2.58944486E-01  9.18041793E-06  1.27012316E-05
2.59228653E-01  -2.09289153E-05  1.28918996E-05
2.59512818E-01  -1.62175336E-06  1.31832999E-05
2.59796983E-01  1.86239188E-06  1.30515963E-05
2.60081146E-01  -5.49269885E-06  1.32745552E-05
2.60365308E-01  1.75359201E-05  1.32517847E-05
2.60649468E-01  1.68619119E-05  1.34128477E-05
2.60933627E-01  1.43957662E-05  1.35928574E-05
2.61217785E-01  -4.97819015E-06  1.33942833E-05
2.61501942E-01  -4.31883246E-06  1.36313209E-05
2.61786097E-01  1.24976422E-05  1.34636282E-05
2.62070252E-01  1.81862690E-07  1.36761943E-05
2.62354404E-01  -1.18342495E-06  1.37415357E-05
2.62638556E-01  -1.21029332E-06  1.37730607E-05
2.62922706E-01  -9.00501337E-07  1.38099381E-05
2.63206855E-01  3.17317659E-05  1.37044899E-05
2.63491003E-01  1.08385177E-05  1.39630554E-05
2.63775149E-01  -1.39388053E-05  1.39826731E-05
2.64059294E-01  4.11785784E-06  1.41369066E-05
2.64343438E-01  -2.04238155E-05  1.42082630E-05
2.64627580E-01  -9.84109793E-06  1.40359833E-05
2.64911722E-01  2.93640607E-05  1.41201011E-05
2.65195861E-01  6.44090916E-06  1.40195879E-05
2.65480000E-01  -2.05191073E-05  1.41479487E-05
2.65764137E-01  7.78557033E-06  1.42487017E-05
2.66048273E-01  -2.31959752E-05  1.40539264E-05
2.66332408E-01  2.49640250E-05  1.41692847E-05
2.66616541E-01  3.63625742E-06  1.42512223E-05
2.66900673E-01  4.08241845E-06  1.43405843E-05
2.67184804E-01  -7.42820867E-06  1.44180000E-05
2.67468933E-01  7.46222660E-06  1.43131676E-05
2.67753061E-01  1.42128885E-05  1.44560322E-05
2.68037188E-01  -2.50953155E-06  1.45577795E-05
2.68321313E-01  -6.07251989E-06  1.44638658E-05
2.68605438E-01  1.85969446E-05  1.44718217E-05
2.68889560E-01  -1.55718787E-05  1.45808185E-05
2.69173682E-01  7.94224279E-06  1.47013730E-05
2.69457802E-01  -3.86840631E-06  1.47177370E-05
2.69741921E-01  -9.33343214E-06  1.47068981E-05
2.70026038E-01  -3.94697713E-06  1.47905047E-05
2.70310154E-01  -1.38513444E-05  1.48217590E-05
2.70594269E-01  -6.70999510E-06  1.48674678E-05
2.70878383E-01  1.13899313E-05  1.48787197E-05
2.71162495E-01  -6.86182494E-06  1.49742589E-05
2.71446606E-01  -1.33559348E-06  1.49713172E-05
2.71730715E-01  1.75688320E-05  1.52131917E-05
2.72014824E-01  -1.49191153E-05  1.50264312E-05
2.72298930E-01  1.14753944E-05  1.51287736E-05
2.72583036E-01  -1.20460194E-05  1.52905212E-05
2.72867140E-01  3.04227454E-05  1.52962170E-05
2.73151243E-01  2.95246517E-07  1.53006266E-05
2.73435344E-01  -3.05249561E-06  1.51433668E-05
2.73719445E-01  1.57922379E-05  1.54928307E-05
2.74003543E-01  -4.28069665E-06  1.53200835E-05
2.74287641E-01  -2.01699699E-05  1.55660786E-05
2.74571737E-01  5.38877487E-06  1.54620985E-05
2.74855832E-01  3.17753932E-07  1.51783833E-05
2.75139925E-01  1.87556852E-05  1.55129428E-05
2.75424017E-01  -2.37045701E-05  1.54172020E-05
2.75708108E-01  7.62642775E-06  1.55162207E-05
2.75992197E-01  -8.92211861E-06  1.58446013E-05
2.76276285E-01  -3.86606067E-06  1.54502496E-05
2.76560372E-01  -1.83700682E-05  1.59169210E-05
2.76844457E-01  1.45296219E-05  1.55749944E-05
2.77128541E-01  1.80997989E-05  1.57242851E-05
2.77412623E-01  -1.05047023E-05  1.60354075E-05
2.77696705E-01  -1.19753625E-05  1.57333141E-05
2.77980784E-01  1.49986065E-05  1.60104668E-05
2.78264863E-01  -1.53246240E-06  1.58280657E-05
2.78548940E-01  1.73235883E-06  1.60974938E-05
2.78833016E-01  -2.48036061E-06  1.61062697E-05
2.79117090E-01  -1.28357053E-05  1.60406071E-05
2.79401163E-01  -1.83471272E-05  1.63533401E-05
2.79685234E-01  -1.14495483E-05  1.59484349E-05
2.79969305E-01  -2.46095674E-05  1.64556297E-05
2.80253374E-01  -2.32421557E-05  1.61949103E-05
2.80537441E-01  2.36005299E-05  1.63477685E-05
2.80821507E-01  2.46750958E-05  1.65363055E-05
2.81105572E-01  -3.77380603E-05  1.63740373E-05
2.81389635E-01  3.49213373E-05  1.65619267E-05
2.81673697E-01  -4.61846352E-06  1.64592468E-05
2.81957758E-01  7.78439863E-06  1.65974472E-05
2.82241817E-01  -1.75385938E-05  1.66593049E-05
2.82525875E-01  -4.99250430E-06  1.67314074E-05
2.82809931E-01  -7.37290155E-07  1.67026738E-05
2.83093986E-01  1.38384218E-05  1.66958869E-05
2.83378040E-01  -7.23416808E-06  1.69688868E-05
2.83662092E-01  -6.47258910E-06  1.67053726E-05
2.83946143E-01  -1.12541546E-05  1.69304073E-05
2.84230192E-01  -1.77259300E-06  1.70905184E-05
2.84514240E-01  -6.19722838E-06  1.69459850E-05
2.84798287E-01  9.12929647E-07  1.72636984E-05
2.85082332E-01  1.24701104E-05  1.68372689E-05
2.85366376E-01  1.93603817E-05  1.71934346E-05
2.85650418E-01  8.45320467E-06  1.71943486E-05
2.85934459E-01  3.25558028E-05  1.71275058E-05
2.86218499E-01  4.65577375E-05  1.74346555E-05
2.86502537E-01  -7.40105925E-06  1.71260356E-05
2.86786574E-01  -1.10963110E-06  1.73487634E-05
2.87070609E-01  1.33191834E-06  1.71239509E-05
2.87354643E-01  8.37717275E-06  1.74103206E-05
2.87638676E-01  -3.19086730E-05  1.75799448E-05
2.87922707E-01  -2.02096227E-05  1.71874251E-05
2.88206737E-01  1.73902288E-05  1.74682762E-05
2.88490765E-01  -1.43576412E-05  1.73814629E-05
2.88774792E-01  1.73480416E-05  1.74312257E-05
2.89058818E-01  7.09661683E-06  1.75528018E-05
2.89342842E-01  -1.42518773E-05  1.73438898E-05
2.89626864E-01  -1.20842556E-05  1.78487900E-05
2.89910886E-01  1.34454547E-05  1.72027488E-05
2.90194905E-01  -5.86539488E-06  1.76881154E-05
2.90478924E-01  1.38671091E-05  1.79431092E-05
2.90762941E-01  -1.25342552E-05  1.78260488E-05
2.91046956E-01  8.31787009E-06  1.81659720E-05
2.91330970E-01  -9.94082339E-06  1.76134974E-05
2.91614983E-01  -9.68515097E-06  1.79960139E-05
2.91898994E-01  -1.80120604E-06  1.81120401E-05
2.92183004E-01  1.68645612E-05  1.81094747E-05
2.92467012E-01  3.25121672E-05  1.83907958E-05
2.92751019E-01  -4.57562639E-07  1.79260497E-05
2.93035025E-01  6.62739426E-06  1.83962854E-05
2.93319029E-01  4.84429778E-05  1.82098371E-05
